id	source	translation
1	契丹侵澶，萊公相真宗北伐，臨河未渡。	Zhao Qi, however, took refuge in the hills of Danyang, and he was then sent to take refuge from the rebels of WEI. He was sent across the frontier to take up camp in the north of the empire.
2	是夕，內人相泣。	Before this, men of mean origin had been conscripted as soldiers.
3	明日，參知政事王欽若請幸金陵，樞密副使陳文忠公堯叟請幸蜀。	On the day xinhai, the emperor saw Wang Xiu, recognised his true appearance, and asked him about the succession to the throne. Chen Qiu answered in the same manner as his father.
4	真宗以問公，公曰：“此與昨暮泣者何異？”議數日不決，出遇高烈武王，而謂之曰：“子為上將，視國之危不一言，何也？”王謝之。	"When Duke Cao asked him about the Duke of Zhou, he asked him why, and asked him, ""Cao Cao raised the Son of Heaven to rule the empire, but he failed to match the achievements of Duke Cao of Qin. He failed to follow the examples of Dou Wu and Cao Cao, and so his power has fallen apart. He is now a man of no use for the state. How can he be of any use to you?"""
5	乃復入，請召問從官，至皆默然。	So he stopped, went back to his lodging and asked for some food.
6	楊文公獨與公同，其說數千言，真宗以一言折之曰：“儒不知兵！”又請召問諸將，王曰：“蜀遠，欽若之議是也。	"Yang Ci, however, realised that Yang Ci would not be easy to deal with, and he sent his Attendant Officer Yang Ci to ask him about the proposals. He was not pleased, and said to him, ""Cao Cao's ambitions have long been imitated, but he still plans to take over the imperial clan. He will not be able to maintain hiscontrol over the people, and will certainly cause you trouble."""
7	上與後宮御樓船浮江而下，數日可到。”	Later, in the autumn of the seventh month, with the rising of the Moon of the Black Emperor rising above the sea, the imperial palace could not be reached. More than a hundred thousand people remained in their tents, and even at night they could not see them.
8	殿上皆以為然，公大驚色脫。	All the ministers sent in memorials on behalf of Wang Fu, and Yuan Shu was pleased to receive them.They bowed to their excellencies, and they bowed to him.
9	王又曰：“臣言亦死，不言亦死，與其事至而死，不若言而死。	"but Wang Wang also said, ""I have heard that Mao Jie and Wang Lie were both condemned to death for failing to report to the law, and that since they were alive, I have never heard that they have died because I was unwilling to obey them. So I too, not even to speak against it, have come to this fate."
10	今陛下去都城一步，則城中別有主矣！	"""The city within the city is still unsettled, and only the leader of the city can hold his city."
11	吏卒皆北人，家在都下，將歸事其主，誰肯送陛下者？金陵可到邪？”	Now the men of the family who had come from the same commandery came back to their homes, and all the men from their families who had been banished from their homes now came to join them.The men of your majesty should be dismissed, and each of them would receive your majesty's seal and ribbon as an officer of the imperial house.
12	公又喜過望，曰：“瓊知此，何不為上駕邪？”	"Guo Tai recognised his true feelings, saying, ""The Excellency over the Masses, Cao Cao was truly a true gentleman. Why should I be able to obtain those honours?"
13	王乃大呼：“逍遙子！”公掖真宗以升，遂渡河而成功。	King Qiao, King of Chenliu, had a great assembly of his sons, and his father Wang Hui, Duke of Hejian, who had held office in the past,became a great leader of the imperial house. He crossed the Yellow River and set his camp at Henei, and when he crossed the river he achieved the great design.
14	欽若愧其議，讒於真宗曰：“寇準孤注子爾！”	When Yang Qi first came to the capital, his father was ashamed and ashamed of him, and he said to his nephew Cao Cao that though his father had been captured by the barbarians, his sons had not been banished to Cao Cao's territory.
15	博者謂窮而盡所有以幸勝為孤注，言以人主而一決也。	Those who want to make trouble are told that there is a man who is making trouble by his own accord, but who has no intention of making trouble. Because of this, many people believe there is someone who is planning a coup against us.
16	澶淵之役，真宗欲南下，萊公不可，曰：“是棄中原也。”	The Duke of WEI is a man of great ambition, but he is not yet strong enough to deal with Cao Cao. He does not know whether he is right or wrong, nor is he behaving like a commoner.
17	又欲斷橋，因河而守，曰：“是棄河北也。國之存亡在河北，不可棄也。”	Chen Gui was afraid he might not be able to hold his position, so he crossed the Yellow River and came to Yong province. He asked the Protector of the West of the North, Cao Cao, not to go, but to go to the north.
18	澶淵之役，所下一紙書爾：州縣堅壁，鄉村人保，金幣自隨，穀不可徙，隨在瘞藏，寇至勿戰。	"""""Even if a man is starving and thirsty, and his fellow-towns are starving, even when the roads are blocked and there are floods, he will stay in his hiding place and make no change to his clothing. Even as the floods are rising, there are no-one who can be trusted to keep them out. The men of the province are discouraged and discouraged, and the women of their villages are hungry and thirsty. No-one can see how they can see or tell whether they are being kept in their homes. They sigh and sigh and mumble something to themselves to themselves, while the men of our country are ashamed to remain in their villages. They are afraid that even when they are starving and starving, they will not dare to come out to the market-place."
19	故虜雖深人而無得，方破德清一城，而得不補失，未戰而困。	"""In former times, when the rebels were strong and there was no peace, it was not possible to capture the city [of Yiling], but instead instead the city fell into ruin and the city was destroyed."
20	真宗既渡河，遂幸澶淵之北門。	and he crossed the Yellow River to join Yuan Shu. He crossed the pass to the west of the passes, and the emperor came to the gates of the city [of Hejian], where he passed through the gates [of the city of Yong'an].
21	望見黃蓋，士氣百倍，呼聲動地。	When Guo Si first came to power he was extremely fond of him, and many people would come to him to see him.
22	兵既接，射殺其帥順國王撻覽，虜懼，遂請和。	The leaders of the Wuhuan rebelled, and the General Who Subdues the West was killed. He took the head of Wang Gui and set himself in the market-place. So he was able to set up his own commandery.
