id	source	translation
1	契丹侵澶，萊公相真宗北伐，臨河未渡。	契 契 侵 犯 州 ， 萊 公 輔 助 真 宗 北 伐 ， 臨 河 還 没 渡 河 。
2	是夕，內人相泣。	這 天 晚 上 ， 内 人 相 互 哭 泣 。
3	明日，參知政事王欽若請幸金陵，樞密副使陳文忠公堯叟請幸蜀。	第 二 天 ， 參 知 政 事 王 欽 若 請 求 前 往 金 陵 ， 樞 密 副 使 陳 文 忠 公 堯 叟 請 求 到 蜀 。
4	真宗以問公，公曰：“此與昨暮泣者何異？”議數日不決，出遇高烈武王，而謂之曰：“子為上將，視國之危不一言，何也？”王謝之。	真 宗 把 這 件 事 詢 問 公 ， 公 説 ： 這 與 昨 晚 哭 泣 的 原 因 有 什 麽 不 同? 商 議 了 幾 天 不 能 决 定 ， 出 來 遇 見 高 烈 武 王 ， 并 對 他 説 : 你 是 上 將 ， 對 國 家 的 危 難 不 説 一 句 話 ， 爲 什 麽 呢? 王 謝 絶 了 。
5	乃復入，請召問從官，至皆默然。	於 是 再 次 入 朝 ， 請 求 召 見 隨 從 官 員 ， 到 來 都 默 然 不 語 。
6	楊文公獨與公同，其說數千言，真宗以一言折之曰：“儒不知兵！”又請召問諸將，王曰：“蜀遠，欽若之議是也。	楊 文 公 獨 自 與 公 共 同 ， 他 的 數 千 言 ， 真 宗 用 一 句 話 折 衷 他 説 ： 儒 生 不 懂 兵 法 ！ 又 請 求 召 見 諸 將 ， 王 欽 若 説 : 蜀 地 遥 遠 ， 欽 若 的 建 議 就 是 這 樣 。
7	上與後宮御樓船浮江而下，數日可到。”	皇 上 和 後 宫 皇 后 乘 坐 樓 船 登 上 長 江 而 下 ， 幾 天 就 可 以 到 達 。
8	殿上皆以為然，公大驚色脫。	殿 上 的 人 都 認 爲 這 樣 ， 公 大 驚 失 色 。
9	王又曰：“臣言亦死，不言亦死，與其事至而死，不若言而死。	王 又 説 ： 臣 説 也 死 了 ， 不 説 也 也 死 ， 與 其 事 情 一 起 而 死 ， 不 如 説 説 事 情 到 了 就 死 了 。
10	今陛下去都城一步，則城中別有主矣！	如 今 陛 下 離 都 城 一 步 ， 那 麽 城 中 另 有 主 人 了 ！
11	吏卒皆北人，家在都下，將歸事其主，誰肯送陛下者？金陵可到邪？”	吏 卒 都 是 北 方 人 ， 家 在 京 城 ， 將 要 回 去 侍 奉 他 的 主 人 ， 誰 肯 送 給 陛 下 呢? 金 陵 可 以 到 達 嗎?
12	公又喜過望，曰：“瓊知此，何不為上駕邪？”	公 又 高 興 地 望 望 ， 説 ： 瓊 知 道 這 種 情 况 ， 爲 什 麽 不 爲 皇 上 駕 車 呢?
13	王乃大呼：“逍遙子！”公掖真宗以升，遂渡河而成功。	王 於 是 大 聲 呼 喊 道 ： 逍 遥 子 ！ 公 引 導 真 宗 登 上 ， 於 是 渡 過 黄 河 而 成 功 。
14	欽若愧其議，讒於真宗曰：“寇準孤注子爾！”	欽 若 慚 愧 他 的 議 論 ， 向 真 宗 進 言 ： 寇 準 是 孤 注 子 的 兒 子!
15	博者謂窮而盡所有以幸勝為孤注，言以人主而一決也。	博 者 指 窮 盡 而 竭 盡 所 有 以 求 取 勝 利 爲 孤 注 ， 説 的 是 因 爲 君 主 而 一 决 决 斷 。
16	澶淵之役，真宗欲南下，萊公不可，曰：“是棄中原也。”	淵 之 戰 ， 真 宗 想 南 下 ， 萊 公 不 同 意 ， 説 ： 這 是 抛 棄 中 原 。
17	又欲斷橋，因河而守，曰：“是棄河北也。國之存亡在河北，不可棄也。”	又 想 斷 橋 ， 沿 河 而 守 ， 説 ： 這 是 抛 棄 河 北 。 國 家 存 亡 在 河 北 ， 不 可 放 棄 。
18	澶淵之役，所下一紙書爾：州縣堅壁，鄉村人保，金幣自隨，穀不可徙，隨在瘞藏，寇至勿戰。	淵 之 戰 ， 所 下 一 紙 書 信 就 是 ： 州 縣 堅 壁 ， 鄉 村 人 民 保 護 ， 金 銀 錢 幣 自 相 隨 從 ， 糧 食 不 可 遷 移 ， 隨 處 埋 葬 ， 敵 寇 來 不 要 戰 鬥 。
19	故虜雖深人而無得，方破德清一城，而得不補失，未戰而困。	所 以 敵 人 雖 然 深 入 敵 人 却 没 有 得 到 ， 正 攻 破 德 清 一 城 ， 而 得 不 補 益 ， 没 有 交 戰 而 困 乏 。
